ID,First_Name,Last_name,DOB,Address,Age,Sex,Created_Time,Contact_no.,Work_no.
1,ELLIS,KIRK,06-06-49,"Rutherford Ln, Smithville, TX 78957, Berlin",NULL,F,15-08-23 09:30,+49 151 2345 6789,+49 157 9876 5432
2,BELINDA,JOHNSON,14-01-96,"Unnamed Road, Spearman, TX 79081, Munich",NULL,M,20-05-22 14:45,+49 163 8765 4321,+49 152 4567 8901
3,JOELLE,BECK,15-04-89,"6121 Stan Roberts Sr Ave, TX 79934, Leipzig",NULL,M,10-11-21 18:15,+49 160 3456 7890,+49 155 6789 0123
4,KEVIN,MCCABE,20-09-88,"Goethestraße 25, Munich, 80333",NULL,F,05-03-20 11:00,+49 154 8901 2345,+49 159 5678 9012
5,SCOTTY,ARMOUR,03-03-90,"Ludwigstraße 10, Berlin, 10115",NULL,F,30-09-19 16:20,+49 158 4321 5678,+49 164 1234 5678
6,SALLY,MITCHELL,11-07-87,"Am Markt 5, Hamburg, 20095",NULL,F,25-07-18 08:30,+49 163 8901 2345,+49 158 3456 7890
7,JANET,SPEARS,02-12-86,"Schlossplatz 8, Stuttgart, 70173",NULL,M,15-02-17 12:45,+49 151 6789 0123,+49 172 1234 567
8,JESSICA,RALPH,28-06-85,"Kaiserstraße 15, Frankfurt, 60311",NULL,M,01-11-16 20:10,+49 152 3456 7890,+49 173 2345 678
9,TIMOTHY,HEAD,17-11-84,"Karl-Marx-Allee 50, Leipzig, 04107",NULL,M,10-04-15 15:25,+49 157 2345 6789,+49 174 3456 789
10,DAVID,SMITH,09-02-83,"Schillerstraße 22, Bonn, 53113",NULL,M,03-05-16 22:00,+49 160 5678 9012,+49 175 4567 890
11,Laura,Hoffmann,24-05-82,"Hauptstraße 7, Dresden, 01097",NULL,F,14-08-17 07:10,+49 159 4321 5678,+49 176 5678 901
12,Dominik , Richter,13-08-81,"Augustinerstraße 4, Cologne, 50667",NULL,M,25-09-18 16:25,+49 155 9012 3456,+49 177 6789 012
13,Sarah ,Schmidt,30-10-80,"Bahnhofstraße 9,Chemnitz , 45127",NULL,F,18-06-13 11:30,+49 154 6789 0123,+49 178 7890 123
14, Alexander,Huber,08-01-79,"Friedrichstraße 101, Berlin, 10117",NULL,M,29-08-12 13:40,+49 164 5678 9012,+49 179 8901 234
